Cage,Rack,Label,Server IP,HostName,Server Type,Server Model,ZService,Component,Group,OS,RAM (GB),Memory Encryption,Disk Encryption,Role,LB Type,PO Number,VLAN,CPU(s),Drive Type
CT1E,CT1E-305,CT1E-305-GTA10-N2,10.164.43.98,10.164.43.98,PHYSICAL_SERVER,AS -2115GT-HNTR,-,-,-,Debian 13.4,128,None,HW Encryption Supported,-,None,ZOHO CHN-SIFY/25-26/0072,CT1E-VIRTUALIZATION-HOST,32,NVMe
CT1E,CT1E-305,CT1E-305-GTA10-N4,10.164.43.79,10.164.43.79,PHYSICAL_SERVER,AS -2115GT-HNTR,-,-,-,Debian 13.4,128,None,HW Encryption Supported,-,None,ZOHO CHN-SIFY/25-26/0072,CT1E-VIRTUALIZATION-HOST,32,NVMe
CT1E,CT1E-305,CT1E-305-GTA10-N3,10.164.43.84,10.164.43.84,PHYSICAL_SERVER,AS -2115GT-HNTR,-,-,-,Debian 13.4,128,None,HW Encryption Supported,-,None,ZOHO CHN-SIFY/25-26/0072,CT1E-VIRTUALIZATION-HOST,32,NVMe
CT1E,CT1E-305,CT1E-305-GTA10-N1,10.164.43.105,10.164.43.105,PHYSICAL_SERVER,AS -2115GT-HNTR,-,-,-,Debian 13.4,128,None,HW Encryption Supported,-,None,ZOHO CHN-SIFY/25-26/0072,CT1E-VIRTUALIZATION-HOST,32,NVMe
CT1E,CT1E-115,CT1E-115-GTA06-N1,10.164.42.144,10.164.42.144,PHYSICAL_SERVER,AS -2115GT-HNTR,-,-,-,Debian 13.4,128,None,HW Encryption Supported,-,None,ZOHO CHN-SIFY/25-26/0072,CT1E-VIRTUALIZATION-HOST,32,NVMe
Cage1,CT04,CT04-I1U10,10.73.88.22,10.73.88.22,PHYSICAL_SERVER,Nathu La,-,-,-,Debian 12.9,64,Unknown,HW Encryption Not Supported,-,None,-,Test-Nathula,64,NVMe
Cage1,CT05,CT05-I2U19-N1-vm2,172.20.100.176,172.20.208.192,VM,-,-,-,-,FreeBSD 13.5-p1,8,Unknown,HW Encryption Supported,-,None,-,VLAN-172.20,20,SSD
Cage1,CT05,CT05-I2U19-N1-vm81,172.20.215.169,172.20.215.169,VM,-,-,-,-,FreeBSD 14.4-p5,8,Unknown,HW Encryption Supported,-,None,-,VLAN-172.20,20,SSD
Cage1,CT21,CT21-S2U14-N4-Container-6,10.62.26.234,-,CN,-,-,-,-,Debian 11.7,4,Unknown,HW Encryption Not Supported,-,None,-,CT1B-VLAN2,2,HDD
Cage1,CT21,CT21-S2U14-N4-Container-7,10.62.26.235,-,CN,-,-,-,-,Debian 11.7,4,Unknown,HW Encryption Not Supported,-,None,-,CT1B-VLAN2,2,HDD
Cage1,CT21,CT21-S2U14-N4-Container-9,10.62.26.237,-,CN,-,-,-,-,Debian 11.7,4,Unknown,HW Encryption Not Supported,-,None,-,CT1B-VLAN2,2,HDD
CT1E,CT1E-311,CT1E-311-D1R32,10.164.43.7,10.164.43.7,PHYSICAL_SERVER,PowerEdge R6715,-,-,-,Debian 13.5,128,None,HW Encryption Supported,-,None,ZOHOCHN-SIFY/25-26/0168,CT1E-VIRTUALIZATION-HOST,32,NVMe
CT1E,CT1E-303,CT1E-303-D1R13,10.164.43.180,10.164.43.180,PHYSICAL_SERVER,PowerEdge R6715,-,-,-,Debian 13.5,128,None,HW Encryption Supported,-,None,ZOHOCHN-SIFY/25-26/0168,CT1E-VIRTUALIZATION-HOST,32,NVMe
CT1E,CT1E-301,CT1E-301-D1R27,10.164.42.18,10.164.42.18,KVM,PowerEdge R6715,-,-,-,Debian 13.6,128,None,Not Known,-,None,ZOHOCHN-SIFY/25-26/0168,CT1E-VIRTUALIZATION-HOST,32,Mixed
CT1E,CT1E-302,CT1E-302-D1R24,10.164.43.243,10.164.43.243,PHYSICAL_SERVER,PowerEdge R6715,-,-,-,Debian 13.5,128,None,HW Encryption Supported,-,None,ZOHOCHN-SIFY/25-26/0168,CT1E-VIRTUALIZATION-HOST,32,NVMe
CT1E,CT1E-301,CT1E-301-D1R31,10.164.42.205,10.164.42.205,CONTAINER_HOST,PowerEdge R6715,-,-,-,Debian 13.5,128,None,HW Encryption Supported,-,None,ZOHOCHN-SIFY/25-26/0168,CT1E-VIRTUALIZATION-HOST,32,NVMe
CT1E,CT1E-302,CT1E-302-D1R32,10.164.42.239,10.164.42.239,PHYSICAL_SERVER,PowerEdge R6715,-,-,-,Debian 13.5,128,None,HW Encryption Supported,-,None,ZOHOCHN-SIFY/25-26/0168,CT1E-VIRTUALIZATION-HOST,32,NVMe
CT1E,CT1E-0111,CT1E-0111-D1R36-vm34,10.164.47.84,10.164.47.84,VM,-,-,-,-,Debian 13.5,8,None,HW Encryption Supported,-,None,-,CT1E-ZAN-OPSMON-APP,32,NVMe
CT1E,CT1E-0111,CT1E-0111-D1R40-vm11,10.164.83.79,10.164.83.79,VM,-,-,-,-,Debian 13.5,8,None,HW Encryption Supported,-,None,-,CT1E-COMMON DB-2,32,NVMe
CT1E,CT1E-301,CT1E-301-D1R24-vm1,10.164.202.30,10.164.202.30,VM,-,-,-,-,Debian 12.9,2,None,HW Encryption Supported,-,None,ZOHOCHN-SIFY/25-26/0168,CT1E-COMMON APP-1,64,NVMe
CT1E,CT1E-0120,CT1E-0120-D1R35-vm12,10.164.70.107,10.164.70.107,VM,-,-,-,-,Debian 13.5,8,None,HW Encryption Supported,-,None,-,CT1E-COMMON APP-2,64,NVMe
CT1E,CT1E-0120,CT1E-0120-D1R35-vm13,10.164.38.142,10.164.38.142,VM,-,-,-,-,Debian 13.5,8,None,HW Encryption Supported,-,None,-,CT1E-COMMON APP-4,64,NVMe
CT1E,CT1E-0120,CT1E-0120-D1R35-vm14,10.164.70.129,10.164.70.129,VM,-,-,-,-,Debian 13.5,8,None,HW Encryption Supported,-,None,-,CT1E-COMMON APP-2,64,NVMe
CT1E,CT1E-0120,CT1E-0120-D1R35-vm27,10.164.74.120,10.164.74.120,VM,-,-,-,-,Debian 13.5,8,None,HW Encryption Supported,-,None,-,CT1E-COMMON APP-3,64,NVMe
