Label,Container IP,Container Host,ZService,Component,Group,OS,RAM (GB),Memory Encryption,Role,VLAN,vCPUs,Drive Type,CPU Type
CT02-MCB09-N9-Container-1,172.20.209.43,172.20.208.146,DFS,TESTServer,NA,Debian 13.4,8,Unknown,-,VLAN-172.20,8,HDD,Shared
CT02-MCB09-N9-Container-2,172.20.209.42,172.20.208.146,DFS,TESTServer,NA,Debian 13.4,8,Unknown,-,VLAN-172.20,8,HDD,Shared
CT04-MCB07-N1-Container-1,172.20.214.24,172.20.207.233,DFS,HDFS-DataNode,DFS_Hadoop,Debian 12.9,8,Unknown,-,VLAN-172.20,8,HDD,Shared
CT04-MCB07-N1-Container-2,172.20.214.23,172.20.207.233,DFS,HDFS-DataNode,DFS_Hadoop,Debian 12.9,8,Unknown,-,VLAN-172.20,8,HDD,Shared
CT04-MCB07-N8-Container-1,172.20.215.4,172.20.208.140,DFS,Test-Server,NA,Debian 13.4,8,Unknown,-,VLAN-172.20,8,HDD,Shared
CT04-MCB07-N8-Container-2,172.20.214.255,172.20.208.140,DFS,Test-Server,NA,Debian 13.4,8,Unknown,-,VLAN-172.20,8,HDD,Shared
CT04-MCB07-N9-Container-1,172.20.213.167,172.20.208.139,DFS,ZCP-DataNodeCold,DFSLZDR,Debian 12.9,8,Unknown,-,VLAN-172.20,8,HDD,Shared
CT04-MCB07-N9-Container-2,172.20.213.135,172.20.208.139,DFS,ZCP-DataNodeCold,DFSLZDR,Debian 12.9,8,Unknown,-,VLAN-172.20,8,HDD,Shared
CT05-I2U15-N3-Container-1,172.20.202.155,172.20.202.158,Repository-Csez,Redis,default,Debian 12.7,4,Unknown,Slave,VLAN-172.20,2,HDD,Pinned
CT05-I2U15-N3-Container-10,10.62.20.210,172.20.202.158,Fuseapp,Redis,default,Debian 12.7,4,Unknown,Slave,CT1B-VLAN2,2,HDD,Pinned
CT05-I2U15-N3-Container-11,10.62.20.212,172.20.202.158,ZiaAgents,Redis,default,Debian 12.7,4,Unknown,Slave,CT1B-VLAN2,2,HDD,Pinned
CT05-I2U15-N3-Container-12,10.62.20.175,172.20.202.158,Sheet2App-Csez,Redis,sheet2app-csez,Debian 12.7,4,Unknown,Master,CT1B-VLAN2,2,HDD,Pinned
CT05-I2U15-N3-Container-13,10.62.21.96,172.20.202.158,RTCPCloud-Csez,Redis,default,Debian 12.7,4,Unknown,Slave,CT1B-VLAN2,2,HDD,Pinned
