Cage,Rack,Label,Physical IP,Management IP,IPv6(Global Unicast),Server Type,OS,ZService,Component,Group,BIOS Version,BMC Version,Serial Number,Vendor,Server Model,Installation Date,Motherboard Model,IPMI Version,Redfish Version,Kernel Version,MAC Address,RAM (GB),Memory Encryption,Drive Type,Disk Encryption,CPU Model,CPU(s),Physical CPU,CPU Cores,CPU Architecture,Disk Count,Total Disk Size,Role,Power Consumed (W),Server Age,PO Number,VLAN
11FHUB,11FHUB,11FHUB-GPU-R28U,172.20.67.17,-,-,PHYSICAL_SERVER,CentOS Linux release 7.9.2009 (Core),DL,Grammar-Correction,TextCorrection-Inference,-,-,System Serial Number,System manufacturer,System Product Name,25-03-2022,-,-,-,3.10.0-1160.6.1.el7.x86_64,2c:fd:a1:57:ab:ad,64,SME,NVMe,HW Encryption Supported,AMD Ryzen Threadripper 1920X 12-Core Processor,24,1,12,x86_64,1,1 TB,-,-1,4,-,VLAN-172.20
Cage1,CT01,CT01-D2C07-N1,172.20.56.57,172.20.56.47,-,KVM,CentOS Linux release 7.9.2009 (Core),-,-,-,2.0.3,4.32,JKV3WB3,Dell Inc.,PowerEdge C6525,13-03-2021,04DK47A02,2.0,1.6.0,3.10.0-1160.6.1.el7.x86_64,b4:96:91:89:94:f0,256,SME,SSD,HW Encryption Not Supported,AMD EPYC 7452 32-Core Processor,64,1,32,x86_64,5,9.5 TB,-,197,5,ZOHO EST/20-21/0350,VLAN-172.20
Cage1,CT01,CT01-D2C07-N2,172.20.56.153,172.20.56.51,-,KVM,CentOS Linux release 7.9.2009 (Core),-,-,-,2.0.3,4.32,2LV3WB3,Dell Inc.,PowerEdge C6525,13-03-2021,04DK47A02,2.0,1.6.0,3.10.0-1160.6.1.el7.x86_64,b4:96:91:89:98:00,256,-,SSD,HW Encryption Not Supported,AMD EPYC 7452 32-Core Processor,64,1,32,x86_64,5,9.5 TB,-,147,5,ZOHO EST/20-21/0350,VLAN-172.20
Cage1,CT01,CT01-D2C07-N3,172.20.56.154,172.20.56.48,-,KVM,CentOS Linux release 7.9.2009 (Core),-,-,-,2.0.3,4.32,1LV3WB3,Dell Inc.,PowerEdge C6525,13-03-2021,04DK47A02,2.0,1.6.0,3.10.0-1160.6.1.el7.x86_64,b4:96:91:89:96:f8,256,-,SSD,HW Encryption Not Supported,AMD EPYC 7452 32-Core Processor,64,1,32,x86_64,5,9.5 TB,-,90,5,ZOHO EST/20-21/0350,VLAN-172.20
Cage1,CT01,CT01-D2C07-N4,172.20.201.80,172.20.56.50,-,PHYSICAL_SERVER,Debian 12.9,CWS,Kubernetes-Worker,worker,2.18.1,7.20,3LV3WB3,Dell Inc.,PowerEdge C6525,13-03-2021,04DK47A02,2.0,1.20.1,6.1.123,b4:96:91:89:92:80,256,None,Mixed,Not Known,AMD EPYC 7452 32-Core Processor,64,1,32,x86_64,10,4.2 TB,-,70,5,ZOHO EST/20-21/0350,VLAN-172.20
Cage1,CT01,CT01-D2C11-N1,172.20.57.112,172.20.57.108,-,KVM,CentOS Linux release 7.9.2009 (Core),-,-,-,2.0.3,4.32,6KV3WB3,Dell Inc.,PowerEdge C6525,08-05-2021,04DK47A02,2.0,1.6.0,3.10.0-1160.6.1.el7.x86_64,b4:96:91:89:99:ac,256,SME,SSD,HW Encryption Not Supported,AMD EPYC 7452 32-Core Processor,64,1,32,x86_64,5,9.5 TB,-,77,5,ZOHO EST/20-21/0350,VLAN-172.20
Cage1,CT01,CT01-D2C11-N2,172.20.57.116,172.20.57.107,-,KVM,CentOS Linux release 7.9.2009 (Core),-,-,-,2.0.3,4.32,8KV3WB3,Dell Inc.,PowerEdge C6525,08-05-2021,04DK47A02,2.0,1.6.0,3.10.0-1160.6.1.el7.x86_64,b4:96:91:71:33:2c,256,SME,SSD,HW Encryption Not Supported,AMD EPYC 7452 32-Core Processor,64,1,32,x86_64,5,9.5 TB,-,102,5,ZOHO EST/20-21/0350,VLAN-172.20
Cage1,CT01,CT01-D2C11-N3,172.20.57.217,172.20.57.110,-,KVM,CentOS Linux release 7.9.2009 (Core),-,-,-,2.0.3,4.32,7KV3WB3,Dell Inc.,PowerEdge C6525,13-05-2021,04DK47A02,2.0,1.6.0,3.10.0-1160.6.1.el7.x86_64,b4:96:91:89:98:98,256,SME,SSD,HW Encryption Not Supported,AMD EPYC 7452 32-Core Processor,64,1,32,x86_64,5,9.5 TB,-,84,5,ZOHO EST/20-21/0350,VLAN-172.20
Cage1,CT01,CT01-D2C11-N4,172.20.209.47,172.20.57.109,-,KVM,Debian 12.9,-,-,-,2.0.3,4.32,9KV3WB3,Dell Inc.,PowerEdge C6525,08-05-2021,04DK47A02,2.0,1.6.0,6.1.112,b4:96:91:71:36:9c,256,None,SSD,HW Encryption Not Supported,AMD EPYC 7452 32-Core Processor,64,1,32,x86_64,5,9.5 TB,-,95,5,ZOHO EST/20-21/0350,VLAN-172.20
Cage1,CT01,CT01-D2C12-N1,172.20.63.232,172.20.61.254,-,KVM,Debian 11.0,-,-,-,2.12.2,5.00,1XGHKH3,Dell Inc.,PowerEdge C6420,23-11-2021,0JP9TFA04,2.0,1.9.0,5.10.46,b4:96:91:c4:c7:30,256,Unknown,SSD,HW Encryption Not Supported,Intel(R) Xeon(R) Silver 4216 CPU @ 2.10GHz,64,2,16,x86_64,4,7.6 TB,-,142,4,-,VLAN-172.20
Cage1,CT01,CT01-D2C12-N2,172.20.63.234,172.20.61.253,-,KVM,Debian 11.0,-,-,-,2.12.2,5.00,HWGHKH3,Dell Inc.,PowerEdge C6420,23-11-2021,0JP9TFA04,2.0,1.9.0,5.10.46,b4:96:91:c4:c0:24,256,Unknown,SSD,HW Encryption Not Supported,Intel(R) Xeon(R) Silver 4216 CPU @ 2.10GHz,64,2,16,x86_64,4,7.6 TB,-,199,4,-,VLAN-172.20
Cage1,CT01,CT01-D2C12-N3,172.20.63.233,172.20.62.0,-,KVM,Debian 11.0,-,-,-,2.12.2,5.00,GWGHKH3,Dell Inc.,PowerEdge C6420,23-11-2021,0JP9TFA04,2.0,1.9.0,5.10.46,b4:96:91:c4:c7:78,256,Unknown,SSD,HW Encryption Not Supported,Intel(R) Xeon(R) Silver 4216 CPU @ 2.10GHz,64,2,16,x86_64,4,7.6 TB,-,152,4,-,VLAN-172.20
Cage1,CT01,CT01-D2C12-N4,172.20.62.153,172.20.61.255,-,CONTAINER_HOST,CentOS Linux release 7.9.2009 (Core),-,-,-,2.12.2,5.00,JWGHKH3,Dell Inc.,PowerEdge C6420,10-11-2021,0JP9TFA04,2.0,-,3.10.0-1160.6.1.el7.x86_64,b4:96:91:c4:c5:5c,128,-,SSD,HW Encryption Not Supported,Intel(R) Xeon(R) Silver 4216 CPU @ 2.10GHz,64,2,16,-,2,3.8 TB,-,77,4,-,VLAN-172.20
Cage1,CT01,CT01-D2C16-N1,192.168.187.87,172.20.66.117,-,PHYSICAL_SERVER,Debian 11.7,Mi,MySQL,dev-cluster,2.12.2,5.10,1VGHKH3,Dell Inc.,PowerEdge C6420,19-01-2022,0JP9TFA04,2.0,1.11.0,5.10.191,b4:96:91:c3:53:48,256,Unknown,SSD,HW Encryption Supported,Intel(R) Xeon(R) Silver 4216 CPU @ 2.10GHz,64,2,16,x86_64,2,15.4 TB,-,67,4,-,LOCALZOHO-CORP
Cage1,CT01,CT01-D2C16-N2,10.61.203.254,172.20.66.118,-,PHYSICAL_SERVER,Debian 12.6,PaliIDE,DockerEngine,paliide,2.12.2,5.10,3VGHKH3,Dell Inc.,PowerEdge C6420,21-01-2022,0JP9TFA04,2.0,1.11.0,6.1.112,b4:96:91:c3:55:74,256,Unknown,SSD,HW Encryption Not Supported,Intel(R) Xeon(R) Silver 4216 CPU @ 2.10GHz,64,2,16,x86_64,4,7.6 TB,-,90,4,-,PaliIDE_VLAN
Cage1,CT01,CT01-D2C16-N3,172.20.66.124,172.20.66.115,-,KVM,Debian 11.2,-,-,-,2.12.2,5.10,2VGHKH3,Dell Inc.,PowerEdge C6420,21-01-2022,0JP9TFA04,2.0,1.11.0,5.10.106,b4:96:91:c3:55:10,256,Unknown,SSD,HW Encryption Not Supported,Intel(R) Xeon(R) Silver 4216 CPU @ 2.10GHz,64,2,16,x86_64,4,7.6 TB,-,152,4,-,VLAN-172.20
