Label,Virtual Machine IP,KVM Host,KVM OS,ZService,Component,Group,Kernel Version,MAC Address,OS,RAM (GB),Memory Encryption,Role,Disk Count,Total Disk Size (GB),VLAN,Server Age,vCPUs,Drive Type,CPU Affinity Type
CT24-D2U32-N4-vm7,172.20.44.54,172.20.15.27,CentOS Linux release 7.3.1611 (Core),ZVPLive,WSServer,"WSServer-externalpreswss,WSServer-externalprewss,WSServer-externalprewsspublic,WSServer-internalprewss",3.10.0-957.21.3.el7.x86_64,52:54:00:ae:9e:0e,CentOS Linux release 7.6.1810 (Core),4,Unknown,-,1,215,VLAN-172.20,56,40,HW_RAID,Shared - Group 1
CT22-FTB24-N1-vm4,172.20.10.77,172.20.12.178,CentOS Linux release 7.2.1511 (Core),Creator-Csez,Cassandra,contactsiam,3.10.0-327.36.3.el7.x86_64,52:54:00:49:d6:07,CentOS Linux release 7.2.1511 (Core),4,Unknown,-,1,242,VLAN-172.20,56,32,HDD,Shared - Group 1
CT23-FTB19-N8-vm8,172.20.66.134,172.20.12.115,CentOS Linux release 7.3.1611 (Core),Site24x7,Cassandra,NA,5.10.106,52:54:00:f9:1d:ae,Debian 11.2,8,Unknown,-,1,340,VLAN-172.20,56,40,HDD,-
CT12-D2U18-vm3,172.20.25.16,172.20.8.143,CentOS Linux release 7.3.1611 (Core),Support,Desk-NameNode,Desk,3.10.0-514.26.2.el7.x86_64,52:54:00:5f:ba:a6,CentOS Linux release 7.3.1611 (Core),8,Unknown,Slave,1,322,VLAN-172.20,56,32,HW_RAID,-
CT24-D2U26-N2-vm8,172.20.5.78,172.20.15.31,CentOS Linux release 7.3.1611 (Core),L7,Nginx,mailtest,11.0-RELEASE-p1,52:54:00:c0:9d:b9,FreeBSD 11.0-p1,8,Unknown,-,0,215,VLAN-172.20,56,40,HW_RAID,Shared - Group 1
CT17-FTA35-N2-vm16,172.20.9.47,172.20.22.121,CentOS Linux release 7.4.1708 (Core),ZMail,"Hadoop-DataNode,Hadoop-JournalNode,Hbase-DataNode,ZMinion","MailDataFreeCluster-9867,Default,NA",3.10.0-693.11.6.el7.x86_64,52:54:00:4c:0b:82,CentOS Linux release 7.4.1708 (Core),8,Unknown,-,1,322,VLAN-172.20,56,24,HW_RAID,Shared - Group 1
CT24-D2U34-N4-vm16,172.20.53.86,172.20.15.17,CentOS Linux release 7.3.1611 (Core),Queue-Test,Zookeeper,zqzk01,3.10.0-957.21.3.el7.x86_64,52:54:00:2e:46:1f,CentOS Linux release 7.6.1810 (Core),32,-,-,1,537,VLAN-172.20,56,40,HW_RAID,-
CT24-D2U26-N4-vm16,172.20.29.163,172.20.15.33,CentOS Linux release 7.3.1611 (Core),ZMAutomation-CSEZ,DataNode,NA,3.10.0-514.16.1.el7.x86_64,52:54:00:00:1c:50,CentOS Linux release 7.3.1611 (Core),16,Unknown,-,1,537,VLAN-172.20,56,40,HW_RAID,-
CT19-FTB19-N6-vm5,172.20.47.215,172.20.12.232,CentOS Linux release 7.3.1611 (Core),Crm,Docker,ZOHOCRM,3.10.0-957.21.3.el7.x86_64,52:54:00:0f:76:b7,CentOS Linux release 7.6.1810 (Core),8,Unknown,-,1,340,VLAN-172.20,56,40,HDD,Shared - Group 1
CT18-FTB30-N7-vm8,172.20.60.190,172.20.9.134,CentOS Linux release 7.3.1611 (Core),Catalyst,Test-Server,catalysttesting,3.10.0-1160.6.1.el7.x86_64,52:54:00:98:2d:73,CentOS Linux release 7.9.2009 (Core),8,Unknown,-,0,322,VLAN-172.20,10,40,HDD,Shared - Group 1
CT18-FTB30-N7-vm9,172.20.49.146,172.20.9.134,CentOS Linux release 7.3.1611 (Core),ZMail,"DataNode,Hadoop-DataNode,Hbase-RegionServer","MailappsContentCluster-50020,QueueCluster-9867,QueueCluster-16020",3.10.0-957.21.3.el7.x86_64,52:54:00:a1:20:d3,CentOS Linux release 7.6.1810 (Core),16,Unknown,-,0,483,VLAN-172.20,10,40,HDD,Shared - Group 1
CT25-D2U32-N4-vm17,172.20.28.39,172.20.15.49,CentOS Linux release 7.3.1611 (Core),ZMail,Prometheus,Default,3.10.0-957.21.3.el7.x86_64,52:54:00:89:72:98,CentOS Linux release 7.6.1810 (Core),8,Unknown,-,1,1100,VLAN-172.20,10,40,HW_RAID,Shared - Group 1
CT18-FTB18-N8-vm12,172.20.73.101,172.20.13.15,CentOS Linux release 7.3.1611 (Core),AlarmCentral,ElasticSearch-DataNode,AlarmCentral6.8,3.10.0-1160.95.1.el7.x86_64,52:54:00:11:5e:56,CentOS Linux release 7.9.2009 (Core),8,Unknown,-,1,330,VLAN-172.20,10,40,HDD,-
CT20-FTB23-N7-vm4,172.20.28.61,172.20.17.86,CentOS Linux release 7.3.1611 (Core),ZCP-QA,Test-Server,test,3.10.0-514.26.2.el7.x86_64,52:54:00:20:76:af,CentOS Linux release 7.3.1611 (Core),4,Unknown,-,1,242,VLAN-172.20,10,32,HDD,-
CT20-FTB23-N7-vm13,172.20.28.60,172.20.17.86,CentOS Linux release 7.3.1611 (Core),ZCP-QA,Test-Server,test,3.10.0-693.21.1.el7.x86_64,52:54:00:fa:66:5c,CentOS Linux release 7.4.1708 (Core),8,Unknown,-,1,330,VLAN-172.20,10,32,HDD,-
CT25-FTB19-N8-vm4,172.20.25.204,172.20.5.246,CentOS Linux release 7.3.1611 (Core),SasSudalai,Testing,NA,3.10.0-514.10.2.el7.x86_64,52:54:00:dc:2d:ce,CentOS Linux release 7.3.1611 (Core),4,Unknown,-,1,242,VLAN-172.20,10,40,HDD,Shared - Group 1
CT25-D2U34-N2-vm13,172.20.25.159,172.20.15.168,CentOS Linux release 7.3.1611 (Core),sasteam-testing,FreeBSDServer,NA,11.0-RELEASE-p1,52:54:00:06:b4:69,FreeBSD 11.0,8,-,-,0,215,VLAN-172.20,10,40,HW_RAID,Shared - Group 1
CT19-FTB19-N8-vm9,172.20.80.192,172.20.12.241,CentOS Linux release 7.3.1611 (Core),ZMail,Zookeeper,ZM_PROCESSORS-2181,3.10.0-1160.6.1.el7.x86_64,52:54:00:4d:d8:2f,CentOS Linux release 7.9.2009 (Core),8,Unknown,-,1,330,VLAN-172.20,10,40,HDD,Shared - Group 1
CT19-FTB19-N8-vm12,172.20.14.127,172.20.12.241,CentOS Linux release 7.3.1611 (Core),DFS,DataNode,DFSMail1,3.10.0-957.5.1.el7.x86_64,52:54:00:d2:c5:d5,CentOS Linux release 7.6.1810 (Core),8,Unknown,-,1,330,VLAN-172.20,10,40,HDD,Shared - Group 1
CT18-FTB18-N1-vm11,172.20.26.25,172.20.13.51,CentOS Linux release 7.2.1511 (Core),Arm,Cassandra,IAM-Notification,3.10.0-957.21.3.el7.x86_64,52:54:00:39:1b:6f,CentOS Linux release 7.6.1810 (Core),8,Unknown,-,1,340,VLAN-172.20,10,40,HDD,Shared - Group 1
CT22-FTB12-N4-vm20,172.20.71.159,172.20.25.65,CentOS Linux release 7.2.1511 (Core),AlarmCentral,ElasticSearch-Master,AlarmCentral6.8,3.10.0-1160.95.1.el7.x86_64,52:54:00:8b:8e:01,CentOS Linux release 7.9.2009 (Core),4,Unknown,-,1,161,VLAN-172.20,10,32,Mixed,Shared - Group 1
CT22-FTB12-N7-vm6,172.20.13.180,172.20.25.84,CentOS Linux release 7.2.1511 (Core),DFS,NameNode,NA,3.10.0-957.21.3.el7.x86_64,52:54:00:0d:bd:ad,CentOS Linux release 7.6.1810 (Core),4,Unknown,-,1,268,VLAN-172.20,10,32,Mixed,-
CT22-FTB12-N7-vm14,172.20.13.127,172.20.25.84,CentOS Linux release 7.2.1511 (Core),Site24x7,Kafka,NA,3.10.0-327.36.3.el7.x86_64,52:54:00:2e:69:e5,CentOS Linux release 7.2.1511 (Core),4,Unknown,-,1,215,VLAN-172.20,10,32,Mixed,-
CT21-FTB18-N4-vm4,172.20.23.94,172.20.22.175,CentOS Linux release 7.3.1611 (Core),SalesIQ,Hadoop-Storage,SIQDataStore,3.10.0-957.5.1.el7.x86_64,52:54:00:67:81:60,CentOS Linux release 7.6.1810 (Core),8,Unknown,-,1,242,VLAN-172.20,10,40,HDD,Shared - Group 1
CT24-FTB12-N5-vm15,172.20.93.57,172.20.25.54,CentOS Linux release 7.2.1511 (Core),Infra-Services,Test-Server,DNS,3.10.0-1160.88.1.el7.x86_64,52:54:00:c3:2c:2c,CentOS Linux release 7.9.2009 (Core),4,Unknown,-,0,215,VLAN-172.20,10,32,Mixed,Shared - Group 1
CT24-FTB16-N5-vm1,172.20.75.171,172.20.22.165,CentOS Linux release 7.2.1511 (Core),Zorro,Test-Server,Zorro,5.10.106,52:54:00:5d:da:0c,Debian GNU/Linux 11 (bullseye),4,Unknown,-,0,215,VLAN-172.20,10,40,Mixed,Shared - Group 1
CT21-FTB22-N8-vm13,172.20.19.216,172.20.12.186,CentOS Linux release 7.3.1611 (Core),Testing,sastesting,NA,3.10.0-514.10.2.el7.x86_64,52:54:00:f3:c1:95,CentOS Linux release 7.3.1611 (Core),8,Unknown,-,1,330,VLAN-172.20,10,40,HDD,Shared - Group 1
CT24-FTB12-N1-vm6,192.168.145.41,172.20.25.47,CentOS Linux release 7.4.1708 (Core),SasSenthil,sastesting,cloudtest,3.10.0-693.21.1.el7.x86_64,52:54:00:04:88:7a,CentOS Linux release 7.4.1708 (Core),8,-,-,0,107,ZCLOUD_VLAN1,10,32,Mixed,-
CT20-FTB19-N7-vm3,172.20.19.37,172.20.12.199,CentOS Linux release 7.3.1611 (Core),ZmRegression,Zookeeper,NA,3.10.0-514.26.2.el7.x86_64,52:54:00:49:b7:57,CentOS Linux release 7.3.1611 (Core),4,Unknown,-,1,242,VLAN-172.20,10,40,HDD,Shared - Group 1
CT25-D2U28-N3-vm11,172.20.25.192,172.20.15.167,CentOS Linux release 7.3.1611 (Core),SasShyam,sastesting,NA,3.10.0-514.16.1.el7.x86_64,52:54:00:f4:48:6d,CentOS Linux release 7.3.1611 (Core),4,Unknown,-,1,215,VLAN-172.20,9,40,HW_RAID,Shared - Group 1
CT24-D2U32-N3-vm9,172.20.75.229,172.20.15.25,CentOS Linux release 7.3.1611 (Core),Zmlibraryservice,Hadoop-DataNode,ZMLibraryDataCluster-9867,3.10.0-1160.6.1.el7.x86_64,52:54:00:df:99:0e,CentOS Linux release 7.9.2009 (Core),4,Unknown,-,1,215,VLAN-172.20,9,40,HW_RAID,Shared - Group 1
CT24-D2U32-N3-vm1,172.20.15.228,172.20.15.25,CentOS Linux release 7.3.1611 (Core),ZMail,"RedisCache,Zookeeper","CACHE-6389,Default",3.10.0-693.11.6.el7.x86_64,52:54:00:6d:35:bd,CentOS Linux release 7.4.1708 (Core),4,Unknown,-,1,215,VLAN-172.20,9,40,HW_RAID,Shared - Group 1
