KVM Usage Type,VM Count,Container Host Usage,Container Count,Free Guest Slots Count,Free Memory,Free Cores
-,0,REDIS_HOST,-,-,-,-
-,0,REDIS_HOST,-,3,14,10
-,0,REDIS_HOST,-,4,18,12
-,0,REDIS_HOST,-,3,14,8
-,0,SHARED_CPU_CORES,2,-,28,-
-,0,REDIS_HOST,-,3,6,8
-,0,SHARED_CPU_CORES,2,-,28,-
-,0,SHARED_CPU_CORES,2,0,28,-
-,0,SHARED_CPU_CORES,2,-,28,-
SHARED_CPU_CORES,0,-,-,0,122,-
SHARED_CPU_CORES,0,REDIS_HOST,20,1,122,0
SHARED_CPU_CORES,0,DEDICATED_CPU_CORES,10,-,89,24
SHARED_CPU_CORES,0,REDIS_HOST,11,-,78,2
-,0,-,-,16,59,-
SHARED_CPU_CORES,0,REDIS_HOST,4,2,122,32
SHARED_CPU_CORES,0,REDIS_HOST,12,2,74,0
-,0,-,-,9,59,-
REDIS_HOST,0,DEDICATED_CPU_CORES,4,-,110,18
-,0,SHARED_CPU_CORES,-,1,118,-
-,0,REDIS_HOST,-,7,88,22
-,0,"SHARED_AND_DEDICATED{50S,25S,25D}",-,30,122,10
-,0,REDIS_HOST,16,-,58,0
-,0,REDIS_HOST,16,1,58,0
SHARED_CPU_CORES,0,DEDICATED_CPU_CORES,32,1,245,64
-,0,SHARED_CPU_CORES,24,-,108,-
-,0,SHARED_CPU_CORES,12,-,53,-
-,0,SHARED_CPU_CORES,24,-,108,-
-,0,SHARED_CPU_CORES,12,-,53,-
-,0,REDIS_HOST,21,7,42,2
-,0,REDIS_HOST,-,0,490,96
-,0,SHARED_CPU_CORES,24,-,108,-
-,0,SHARED_CPU_CORES,12,-,53,-
FOUR_SET_OF_SHARED_CPU_CORES,0,DEDICATED_CPU_CORES,32,0,245,64
TWO_SET_OF_SHARED_CPU_CORES,0,REDIS_HOST,32,0,245,-
-,0,SHARED_CPU_CORES,24,-,108,-
-,0,SHARED_CPU_CORES,12,-,53,-
TWO_SET_OF_SHARED_CPU_CORES,0,DEDICATED_CPU_CORES,30,2,245,64
FOUR_SET_OF_SHARED_CPU_CORES,0,DEDICATED_CPU_CORES,32,0,369,64
-,0,SHARED_CPU_CORES,12,-,244,-
-,0,SHARED_CPU_CORES,12,-,53,-
-,0,DEDICATED_CPU_CORES,32,-,214,64
FOUR_SET_OF_SHARED_CPU_CORES,0,DEDICATED_CPU_CORES,32,0,214,64
-,0,DEDICATED_CPU_CORES,32,-,245,64
FOUR_SET_OF_SHARED_CPU_CORES,0,DEDICATED_CPU_CORES,32,28,245,-
FOUR_SET_OF_SHARED_CPU_CORES,0,DEDICATED_CPU_CORES,31,0,214,64
FOUR_SET_OF_SHARED_CPU_CORES,0,DEDICATED_CPU_CORES,31,0,245,64
FOUR_SET_OF_SHARED_CPU_CORES,0,DEDICATED_CPU_CORES,32,0,369,64
-,0,REDIS_HOST,31,3,245,64
-,0,SHARED_CPU_CORES,60,1,255,-
-,0,SHARED_CPU_CORES,24,-,491,-
-,0,SHARED_CPU_CORES,24,-,491,-
-,0,SHARED_CPU_CORES,24,-,491,-
-,0,REDIS_HOST,28,0,368,64
-,0,SHARED_CPU_CORES,24,-,491,-
-,0,SHARED_CPU_CORES,24,-,491,-
-,0,SHARED_CPU_CORES,24,-,491,-
-,0,SHARED_CPU_CORES,24,1,491,-
-,0,REDIS_HOST,24,2,121,64
-,0,REDIS_HOST,26,6,121,64
-,0,DEDICATED_CPU_CORES,33,-,491,128
FOUR_SET_OF_SHARED_CPU_CORES,0,-,-,5,738,-
-,0,SHARED_CPU_CORES,24,-,491,-
-,0,-,-,15,122,-
-,0,SHARED_CPU_CORES,24,-,491,-
-,0,-,-,24,491,-
-,0,SHARED_PLUS_DEDICATED_CPU_CORES,40,-,245,32
-,0,SHARED_PLUS_DEDICATED_CPU_CORES,39,3,245,32
-,0,SHARED_PLUS_DEDICATED_CPU_CORES,40,0,245,32
-,0,SHARED_PLUS_DEDICATED_CPU_CORES,40,0,245,32
-,0,SHARED_PLUS_DEDICATED_CPU_CORES,38,2,245,32
-,0,SHARED_PLUS_DEDICATED_CPU_CORES,39,2,245,32
-,0,SHARED_PLUS_DEDICATED_CPU_CORES,40,2,245,32
-,0,SHARED_PLUS_DEDICATED_CPU_CORES,40,1,245,32
-,0,SHARED_PLUS_DEDICATED_CPU_CORES,40,-,245,32
-,0,SHARED_PLUS_DEDICATED_CPU_CORES,40,-,245,32
-,0,-,-,0,121,-
-,0,DEDICATED_CPU_CORES,5,-,121,64
-,0,-,-,4,121,-
-,0,DEDICATED_CPU_CORES,5,-,121,64
-,0,DEDICATED_CPU_CORES,5,-,121,64
-,0,-,5,-,121,-
-,0,SHARED_CPU_CORES,1,-,121,-
-,0,SHARED_CPU_CORES,3,1,245,-
SHARED_CPU_CORES,0,-,-,26,122,-
-,0,SHARED_CPU_CORES,2,-,28,-
-,0,SHARED_CPU_CORES,2,-,28,-
-,0,-,-,-,294967326,-
-,0,REDIS_HOST,16,-,122,32
-,0,SHARED_CPU_CORES,30,-,122,-
-,0,DEDICATED_CPU_CORES,8,1,78,2
-,0,DEDICATED_CPU_CORES,9,8,4,8
-,0,SHARED_CPU_CORES,2,-,28,-
-,0,SHARED_CPU_CORES,2,-,28,-
-,0,SHARED_CPU_CORES,-,-,28,-
-,0,SHARED_CPU_CORES,2,-,28,-
-,0,SHARED_CPU_CORES,2,-,28,-
-,0,SHARED_CPU_CORES,2,-,28,-
-,0,SHARED_CPU_CORES,2,-,28,-
SHARED_CPU_CORES,0,SHARED_CPU_CORES,2,-,28,-
-,0,SHARED_CPU_CORES,2,-,28,-
-,0,SHARED_CPU_CORES,-,5,122,-
-,0,SHARED_CPU_CORES,1,-,-,-
-,0,SHARED_CPU_CORES,-,1,122,-
-,0,DEDICATED_CPU_CORES,16,1,42,0
-,0,SHARED_CPU_CORES,-,5,118,-
SHARED_CPU_CORES,0,REDIS_HOST,18,-,46,2
-,0,REDIS_HOST,19,1,42,0
-,0,REDIS_HOST,19,3,42,2
-,0,SHARED_CPU_CORES,8,-,491,-
-,0,DEDICATED_CPU_CORES,30,-,491,64
-,0,DEDICATED_CPU_CORES,30,-,491,64
