KVM Usage Type,VM Count,Container Host Usage,Container Count,Free Guest Slots Count,Free Memory,Free Cores
REDIS_HOST,11,-,0,17,104,43
SHARED_CPU_CORES,5,-,0,-,120,-
SHARED_CPU_CORES,3,-,0,-,184,-
SHARED_CPU_CORES,9,-,0,19,140,-
SHARED_CPU_CORES,7,-,0,21,164,-
SHARED_CPU_CORES,3,-,0,28,204,-
TWO_SET_OF_SHARED_CPU_CORES,28,-,0,0,11,-
SHARED_CPU_CORES,13,-,0,2,145,-
SHARED_CPU_CORES,19,-,0,6,83,-
SHARED_CPU_CORES,7,-,0,14,181,-
SHARED_CPU_CORES,10,-,0,19,161,-
SHARED_CPU_CORES,9,-,0,13,137,-
SHARED_CPU_CORES,3,-,0,20,132,-
SHARED_CPU_CORES,9,-,0,8,152,-
SHARED_CPU_CORES,16,-,0,17,69,-
SHARED_CPU_CORES,12,-,0,24,121,-
SHARED_CPU_CORES,6,-,0,24,175,-
SHARED_CPU_CORES,9,-,0,21,130,-
SHARED_CPU_CORES,8,-,0,12,135,-
SHARED_CPU_CORES,9,-,0,25,145,-
TWO_SET_OF_SHARED_CPU_CORES,3,-,0,9,16,-
-,1,-,0,13,129,-
SHARED_CPU_CORES,6,-,0,16,124,-
SHARED_CPU_CORES,4,-,0,23,132,-
SHARED_CPU_CORES,14,-,0,18,109,-
SHARED_CPU_CORES,14,-,0,19,133,-
SHARED_CPU_CORES,7,-,0,27,145,-
SHARED_CPU_CORES,4,-,0,13,84,-
SHARED_CPU_CORES,5,-,0,14,80,-
SHARED_CPU_CORES,3,-,0,11,72,-
SHARED_CPU_CORES,2,-,0,14,84,-
SHARED_CPU_CORES,2,-,0,9,88,-
SHARED_CPU_CORES,1,-,0,26,104,-
SHARED_CPU_CORES,3,-,0,-,40,-
SHARED_CPU_CORES,-,-,0,12,59,-
SHARED_CPU_CORES,1,-,0,10,112,-
SHARED_CPU_CORES,1,-,0,15,96,-
SHARED_CPU_CORES,2,-,0,13,100,-
SHARED_CPU_CORES,4,-,0,4,64,-
SHARED_CPU_CORES,4,-,0,6,76,-
SHARED_CPU_CORES,2,-,0,9,92,-
SHARED_CPU_CORES,1,-,0,-,8,-
SHARED_CPU_CORES,1,-,0,13,100,-
SHARED_CPU_CORES,4,-,0,4,28,-
SHARED_CPU_CORES,1,-,0,8,68,-
SHARED_CPU_CORES,3,-,0,-,64,-
SHARED_CPU_CORES,12,REDIS_HOST,0,15,160,-
TWO_SET_OF_SHARED_CPU_CORES,38,-,0,7,83,-
DEDICATED_CPU_CORES,1,-,0,-,56,24
SHARED_CPU_CORES,21,-,0,16,30,-
SHARED_CPU_CORES,6,-,0,-,-,-
SHARED_CPU_CORES,7,-,0,6,92,-
SHARED_CPU_CORES,1,-,0,10,88,-
SHARED_CPU_CORES,-,-,0,4,29,-
SHARED_CPU_CORES,1,-,0,15,82,-
SHARED_CPU_CORES,4,-,0,-,60,-
SHARED_CPU_CORES,3,-,0,9,76,-
SHARED_CPU_CORES,2,-,0,16,104,-
SHARED_CPU_CORES,1,-,0,18,116,-
SHARED_CPU_CORES,1,-,0,20,112,-
SHARED_CPU_CORES,2,-,0,15,92,-
REDIS_HOST,3,-,0,19,96,32
SHARED_CPU_CORES,1,-,0,5,72,-
SHARED_CPU_CORES,4,-,0,-,-,-
SHARED_CPU_CORES,9,-,0,-,28,-
SHARED_CPU_CORES,-,-,0,15,120,-
SHARED_CPU_CORES,2,-,0,9,72,-
SHARED_CPU_CORES,23,-,0,19,262,-
-,-,-,0,4,29,-
SHARED_CPU_CORES,2,-,0,9,84,-
SHARED_CPU_CORES,3,-,0,14,88,-
SHARED_CPU_CORES,4,-,0,10,72,-
SHARED_CPU_CORES,3,-,0,11,104,-
SHARED_CPU_CORES,3,-,0,17,122,-
SHARED_CPU_CORES,3,-,0,17,156,-
SHARED_CPU_CORES,3,-,0,16,156,-
REDIS_HOST,2,-,0,-,-,-
SHARED_CPU_CORES,-,-,0,-,-,-
SHARED_CPU_CORES,-,-,0,20,180,-
SHARED_CPU_CORES,1,-,0,14,90,-
SHARED_CPU_CORES,2,-,0,16,142,-
SHARED_CPU_CORES,6,-,0,12,98,-
SHARED_CPU_CORES,7,-,0,9,40,-
SHARED_CPU_CORES,3,-,0,18,152,-
SHARED_CPU_CORES,6,-,0,3,52,-
SHARED_CPU_CORES,-,SHARED_CPU_CORES,0,-,120,-
SHARED_CPU_CORES,1,-,0,7,76,-
SHARED_CPU_CORES,-,-,0,9,108,-
SHARED_CPU_CORES,1,-,0,13,104,-
SHARED_CPU_CORES,25,-,0,-,20,-
SHARED_CPU_CORES,25,-,0,-,20,-
SHARED_CPU_CORES,3,-,0,7,64,-
SHARED_CPU_CORES,2,-,0,13,104,-
SHARED_CPU_CORES,2,-,0,10,112,-
SHARED_CPU_CORES,2,-,0,7,80,-
SHARED_CPU_CORES,2,-,0,17,152,-
SHARED_CPU_CORES,2,-,0,15,104,-
SHARED_CPU_CORES,-,-,0,18,172,-
SHARED_CPU_CORES,3,-,0,12,112,-
SHARED_CPU_CORES,-,-,0,19,176,-
SHARED_CPU_CORES,2,-,0,15,156,-
REDIS_HOST,1,-,0,18,156,64
SHARED_CPU_CORES,2,-,0,16,134,-
SHARED_CPU_CORES,3,-,0,17,130,-
SHARED_CPU_CORES,2,-,0,16,164,-
SHARED_CPU_CORES,4,-,0,14,140,-
SHARED_CPU_CORES,5,-,0,13,96,-
REDIS_HOST,3,-,0,14,110,64
SHARED_CPU_CORES,4,-,0,13,124,-
SHARED_CPU_CORES,3,-,0,14,130,-
SHARED_CPU_CORES,1,-,0,-,-,-
TWO_SET_OF_SHARED_CPU_CORES,7,-,0,4,145,-
TWO_SET_OF_SHARED_CPU_CORES,27,REDIS_HOST,0,10,79,4
SHARED_CPU_CORES,27,-,0,3,25,-
TWO_SET_OF_SHARED_CPU_CORES,11,-,0,1,89,-
SHARED_CPU_CORES,-,-,0,3,116,-
SHARED_CPU_CORES,6,-,0,25,189,-
SHARED_CPU_CORES,4,-,0,11,72,-
SHARED_CPU_CORES,4,-,0,12,76,-
SHARED_CPU_CORES,2,-,0,9,64,-
REDIS_HOST,3,-,0,9,72,40
SHARED_CPU_CORES,2,-,0,9,92,-
SHARED_CPU_CORES,1,-,0,8,76,-
SHARED_CPU_CORES,-,-,0,12,96,-
SHARED_CPU_CORES,5,-,0,9,76,-
SHARED_CPU_CORES,2,-,0,-,12,-
SHARED_CPU_CORES,4,-,0,11,68,-
SHARED_CPU_CORES,1,-,0,15,108,-
SHARED_CPU_CORES,2,-,0,7,68,-
DEDICATED_CPU_CORES,1,-,0,-,56,24
SHARED_CPU_CORES,-,-,0,12,120,-
SHARED_CPU_CORES,2,-,0,13,92,-
SHARED_CPU_CORES,7,-,0,-,56,-
SHARED_CPU_CORES,-,-,0,-,28,-
SHARED_CPU_CORES,5,-,0,11,64,-
SHARED_CPU_CORES,2,-,0,6,72,-
SHARED_CPU_CORES,7,-,0,23,142,-
SHARED_CPU_CORES,5,-,0,23,192,-
REDIS_HOST,6,-,0,19,148,64
SHARED_CPU_CORES,3,-,0,2,12,-
SHARED_CPU_CORES,-,-,0,-,-,-
SHARED_CPU_CORES,-,-,0,12,60,-
SHARED_CPU_CORES,-,-,0,9,28,-
SHARED_CPU_CORES,-,-,0,-,-,-
SHARED_CPU_CORES,-,-,0,-,-,-
SHARED_CPU_CORES,2,-,0,12,36,-
SHARED_CPU_CORES,3,-,0,9,80,-
SHARED_CPU_CORES,-,-,0,2,120,-
SHARED_CPU_CORES,3,-,0,-,-,-
SHARED_CPU_CORES,7,-,0,-,-,-
SHARED_CPU_CORES,-,-,0,-,-,-
SHARED_CPU_CORES,3,-,0,-,-,-
SHARED_CPU_CORES,13,-,0,-,-,-
SHARED_CPU_CORES,2,-,0,-,87,-
-,-,-,0,-,240,-
SHARED_CPU_CORES,1,-,0,11,112,-
SHARED_CPU_CORES,18,-,0,3,44,-
SHARED_CPU_CORES,-,-,0,-,-,-
SHARED_CPU_CORES,7,-,0,9,61,-
SHARED_CPU_CORES,-,-,0,-,56,-
SHARED_CPU_CORES,1,-,0,14,116,-
SHARED_CPU_CORES,10,-,0,11,74,-
SHARED_CPU_CORES,11,-,0,15,121,-
SHARED_CPU_CORES,8,-,0,13,148,-
